thetaa,thetaad,thetab,thetabd,lambdaa,lambdaad,lambdab,lambdabd
9.04,0.13,10.19,0.11,63.32,0.67,71.25,0.75
18.28,0.15,20.69,0.13,126.49,0.76,142.21,0.77
28.13,0.11,31.95,0.14,189.74,0.62,213.02,0.81
