T1,T2,D
26.66,26.1,0
30.2,28.9,3
35.13,34.3,6
40.18,39,10
45.12,44.2,14
50.22,49.2,17
55.06,54,20
60.07,59.2,24
65.2,64.4,28
70.08,69.3,31
75.1,75,35
80.11,79.9,38
