a_1;i_1;a_2;i_2;a_3;i_3;a_4;i_4;a_5;i_5;a_6;i_6;a_7;i_7;a_8;i_8;a_9;i_9;a_10;i_10;a_11;i_11
0;0;0;0;0.052;0;0;0;0.017;0;0.035;0;0;0;0.017;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.052;0;0;0;0.017;0;0.035;0;0;0;0.017;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.07;0;0;0;0.017;0;0.035;0;0;0;0.017;0;0.017;0;-0.017;0.1;0.017;0.1
0;0;0;0;0.07;0;0;0;0.017;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.087;0;0;0;0.017;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.105;0;0;0;0.017;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.122;0;0;0;0.017;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.157;0;0;0;0;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.175;0;0;0;0;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.209;0;0;0;0;0;0.035;0;0;0;0.035;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.244;0;0;0;0;0;0.035;0;0;0;0.052;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.279;0;0;0;0;0;0.052;0;0;0;0.052;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.332;0;0;0;0;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.349;0;0;0;0;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.384;0;0;0;0;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.401;0;0;0;0.017;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0;0;0;0;0.419;-0.1;0;0;0.017;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.419;0;0;0;0.017;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.436;0;0;0;0.017;0;0.052;0;0;0;0.07;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.436;0;0;0;0.017;0;0.052;0;0;0;0.087;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.436;0;0;0;0.017;0;0.052;0;0;0;0.105;0;0.017;0;-0.017;0.1;0.017;0
0.017;0;0;0;0.436;0;0.017;0;0.017;0;0.052;0;0;0;0.122;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0.1;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.122;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.14;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.157;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.157;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.157;0;0.017;0;-0.017;0;0.017;0
0.017;-0.1;0;0;0.454;0;0.017;0;0.017;0;0.052;0;0;0;0.157;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.454;0;0;0;0.017;0;0.052;0;0.017;0;0.157;0;0.017;0;-0.017;0.1;0.017;0
0.017;0;0;0;0.454;0;0;0;0.017;0;0.052;0;0.017;0;0.157;0;0.017;0;-0.017;0;0.017;0
0.017;0;0;0;0.471;0;0;0;0.017;0;0.07;0;0.017;0;0.157;0;0.017;0;0;0;0.017;0
0.017;0;0;0;0.471;0;0;0;0.017;0;0.07;0;0.017;0;0.157;0;0.017;0;0;0;0.017;0.1
0.017;0;0;0;0.471;0;0;0;0.017;0;0.07;0;0.017;0;0.157;0;0.017;0;0;0;0.017;0
0.017;0;0;0;0.471;0;0;0;0.017;0;0.07;0;0.017;0;0.157;0;0.017;0;0;0;0.017;0
